iter	Passed	Remaining
0	470	328636
1	692	241510
2	916	213009
3	1132	197050
4	1364	189714
5	1593	184334
6	1822	180411
7	2049	177246
8	2291	175939
9	2516	173658
10	2740	171677
11	2971	170345
12	3210	169653
13	3444	168778
14	3676	167875
15	3901	166788
16	4133	166087
17	4363	165314
18	4584	164313
19	4802	163298
20	5022	162386
21	5254	161923
22	5475	161172
23	5692	160347
24	5916	159758
25	6129	158904
26	6344	158137
27	6569	157679
28	6783	156946
29	6999	156328
30	7221	155836
31	7437	155256
32	7659	154822
33	7879	154350
34	8101	153931
35	8362	154234
36	8625	154564
37	8882	154735
38	9130	154752
39	9356	154374
40	9587	154097
41	9806	153633
42	10033	153297
43	10253	152864
44	10476	152490
45	10701	152150
46	10929	151848
47	11199	152133
48	11434	151921
49	11671	151735
50	11932	151851
51	12173	151695
52	12413	151534
53	12649	151320
54	12875	150993
55	13103	150692
56	13332	150396
57	13556	150057
58	13779	149710
59	14001	149345
60	14238	149152
61	14467	148870
62	14682	148458
63	14908	148157
64	15151	148019
65	15370	147654
66	15588	147276
67	15812	146961
68	16023	146534
69	16241	146171
70	16477	145975
71	16692	145597
72	16914	145278
73	17134	144947
74	17359	144661
75	17587	144402
76	17819	144178
77	18045	143897
78	18270	143619
79	18504	143413
80	18730	143136
81	18944	142778
82	19165	142469
83	19392	142211
84	19618	141947
85	19849	141714
86	20074	141443
87	20297	141156
88	20515	140844
89	20741	140578
90	20961	140281
91	21181	139981
92	21407	139725
93	21626	139422
94	21851	139160
95	22068	138847
96	22288	138554
97	22509	138269
98	22725	137957
99	22944	137666
100	23168	137402
101	23387	137114
102	23607	136829
103	23830	136566
104	24048	136273
105	24295	136148
106	24536	135981
107	24765	135751
108	24991	135503
109	25229	135322
110	25465	135125
111	25704	134947
112	25930	134698
113	26153	134440
114	26379	134192
115	26609	133967
116	26826	133673
117	27051	133424
118	27274	133163
119	27512	132979
120	27737	132725
121	27967	132502
122	28191	132248
123	28415	131994
124	28639	131743
125	28865	131500
126	29092	131261
127	29314	131000
128	29536	130739
129	29764	130505
130	29986	130246
131	30214	130012
132	30431	129734
133	30661	129512
134	30888	129273
135	31133	129112
136	31368	128909
137	31616	128757
138	31838	128497
139	32056	128226
140	32282	127986
141	32496	127698
142	32717	127438
143	32935	127167
144	33158	126918
145	33378	126653
146	33603	126413
147	33820	126141
148	34045	125898
149	34269	125655
150	34490	125398
151	34730	125213
152	34963	124999
153	35193	124777
154	35432	124585
155	35647	124310
156	35874	124073
157	36106	123857
158	36336	123636
159	36569	123421
160	36807	123226
161	37044	123025
162	37265	122771
163	37499	122559
164	37733	122346
165	37962	122120
166	38177	121848
167	38393	121580
168	38614	121326
169	38846	121109
170	39070	120867
171	39298	120637
172	39527	120409
173	39762	120200
174	40001	120003
175	40226	119765
176	40454	119534
177	40676	119288
178	40901	119048
179	41132	118828
180	41350	118568
